Size,Lambda,Conditional number,Cholesky Gap_sol,GD Gap_sol,Fista Gap_sol
50.0,0.1,1.36960e+05,3.90727e-12,4.10503e-01,4.62634e-04
50.0,0.5,4.96194e+04,2.95428e-12,1.97087e-01,1.41119e-04
50.0,1.0,1.65800e+04,2.81010e-12,2.44623e-02,1.60701e-05
50.0,5.0,7.44190e+02,3.16922e-13,2.11330e-06,2.04721e-06
50.0,10.0,1.87501e+02,7.99497e-14,6.11132e-07,5.97101e-07
50.0,20.0,4.76694e+01,2.48472e-14,1.69739e-07,1.62423e-07
100.0,0.1,6.47836e+05,1.25224e-11,7.51087e-01,1.84997e-03
100.0,0.5,1.24523e+05,7.91892e-12,4.32714e-01,3.73284e-04
100.0,1.0,3.53332e+04,1.17363e-11,1.62355e-01,9.75507e-05
100.0,5.0,1.47808e+03,7.25828e-13,3.13424e-06,3.06337e-06
100.0,10.0,3.70792e+02,2.17136e-13,8.80343e-07,8.74994e-07
100.0,20.0,9.34807e+01,5.92848e-14,2.31579e-07,2.17494e-07
200.0,0.1,4.65861e+06,1.06397e-10,9.20893e-01,6.25966e-03
200.0,0.5,2.93477e+05,1.16104e-10,6.74544e-01,8.73957e-04
200.0,1.0,7.47123e+04,7.29535e-12,4.13632e-01,3.14010e-04
200.0,5.0,3.00705e+03,1.92476e-12,3.64928e-06,3.57730e-06
200.0,10.0,7.52651e+02,4.69007e-13,1.16049e-06,1.14074e-06
200.0,20.0,1.88921e+02,1.25947e-13,3.17893e-07,3.00600e-07
