Size,Lambda,GD Gap_pred,Fista Gap_pred,GD MSE,Fista MSE
50.0,0.1,1.01481e-02,1.03376e-05,1.97875,1.95102
50.0,0.5,3.80765e-03,2.72845e-06,1.99986,1.97829
50.0,1.0,3.40797e-04,2.82597e-07,2.05495,2.05198
50.0,5.0,1.94656e-08,2.73822e-08,2.41534,2.41534
50.0,10.0,6.29175e-09,8.91541e-09,2.75194,2.75194
50.0,20.0,1.80581e-09,5.02327e-09,3.72686,3.72686
100.0,0.1,2.24808e-02,3.66917e-05,1.72869,1.59491
100.0,0.5,9.39302e-03,7.29692e-06,1.73607,1.65477
100.0,1.0,2.22953e-03,1.28468e-06,1.78763,1.76309
100.0,5.0,1.55891e-08,2.22719e-08,2.12113,2.12113
100.0,10.0,5.14319e-09,7.38624e-09,2.24339,2.24339
100.0,20.0,1.76174e-09,3.02175e-09,2.51922,2.51922
200.0,0.1,3.02537e-02,1.07591e-04,1.62333,1.36208
200.0,0.5,1.54919e-02,1.56289e-05,1.63615,1.47915
200.0,1.0,6.32675e-03,4.09057e-06,1.66141,1.59222
200.0,5.0,1.13226e-08,1.95701e-08,2.02445,2.02445
200.0,10.0,4.11331e-09,7.34885e-09,2.19601,2.19601
200.0,20.0,1.47151e-09,2.92261e-09,2.40633,2.40633
