Size,Lambda,Conditional number,Optimal MSE,Optimal Time,Cholesky MSE,Cholesky Time,Cholesky Reg_gap_sol,C-SGD MSE,C-SGD Time,C-SGD Iterations,C-SGD Reg_gap_sol,Fista MSE,Fista Time,Fista Iterations,Fista Reg_gap_sol
50,0.1,161371.15687022696,1.8792391147796508,1078,1.8792391147796517,10427,3.665871381899308e-12,1.9046201103793416,919020,40000,"iters
0        1.021770
1        1.020656
2        1.019765
3        1.019022
4        1.018379
           ...   
39995    0.447646
39996    0.447640
39997    0.447634
39998    0.447629
39999    0.447623
Name: Gap_Sol, Length: 40000, dtype: float64",1.8792367498721747,118328,40000,"iters
0        1.001273
1        1.001273
2        1.000028
3        0.998762
4        0.997539
           ...   
39995    0.000576
39996    0.000576
39997    0.000576
39998    0.000576
39999    0.000576
Name: Gap_Sol, Length: 40000, dtype: float64"
50,0.5,54165.715137136416,1.9009668013512884,0,1.9009668013512617,9540,4.023657850696179e-12,1.9175998829163945,954397,40000,"iters
0        1.008532
1        1.006527
2        1.004955
3        1.003665
4        1.002567
           ...   
39995    0.174619
39996    0.174613
39997    0.174608
39998    0.174603
39999    0.174597
Name: Gap_Sol, Length: 40000, dtype: float64",1.9009690259852199,67958,40000,"iters
0        0.962826
1        0.962826
2        0.960877
3        0.958800
4        0.956699
           ...   
39995    0.000126
39996    0.000126
39997    0.000126
39998    0.000126
39999    0.000126
Name: Gap_Sol, Length: 40000, dtype: float64"
50,1.0,17609.36951997735,1.9661967065684496,1056,1.966196706568541,9647,3.788690086834194e-12,1.969365089715885,948694,40000,"iters
0        1.000893
1        0.997611
2        0.995035
3        0.992921
4        0.991119
           ...   
39995    0.028182
39996    0.028180
39997    0.028178
39998    0.028176
39999    0.028174
Name: Gap_Sol, Length: 40000, dtype: float64",1.9661954557544818,702843,36731,"iters
0        1.017921
1        1.017921
2        1.014217
3        1.010466
4        1.006844
           ...   
36726    0.000018
36727    0.000018
36728    0.000017
36729    0.000017
36730    0.000017
Name: Gap_Sol, Length: 36731, dtype: float64"
50,5.0,780.2299263498185,2.3359720527607615,30,2.335972052760776,9606,3.220986447436505e-13,2.335972152896744,132360,9382,"iters
0       1.051368
1       1.032117
2       1.015248
3       1.000163
4       0.986472
          ...   
9377    0.000002
9378    0.000002
9379    0.000002
9380    0.000002
9381    0.000002
Name: Gap_Sol, Length: 9382, dtype: float64",2.3359720371889043,858066,6570,"iters
0       0.964401
1       0.964401
2       0.940930
3       0.919545
4       0.901320
          ...   
6565    0.000002
6566    0.000002
6567    0.000002
6568    0.000002
6569    0.000002
Name: Gap_Sol, Length: 6570, dtype: float64"
50,10.0,196.4569764681459,2.601941040427752,1008,2.601941040427743,9911,1.1092172783257206e-13,2.6019410460192174,332278,2688,"iters
0       9.602881e-01
1       9.345220e-01
2       9.132832e-01
3       8.951140e-01
4       8.791066e-01
            ...     
2683    6.909237e-07
2684    6.873882e-07
2685    6.838708e-07
2686    6.803714e-07
2687    6.768899e-07
Name: Gap_Sol, Length: 2688, dtype: float64",2.6019410000888654,313193,2297,"iters
0       9.857526e-01
1       9.857526e-01
2       9.487869e-01
3       9.133784e-01
4       8.813409e-01
            ...     
2292    8.321695e-07
2293    7.750275e-07
2294    7.232500e-07
2295    6.789740e-07
2296    6.444491e-07
Name: Gap_Sol, Length: 2297, dtype: float64"
50,20.0,49.90500686308045,3.271007904849572,0,3.271007904849574,9857,3.6111640565440684e-14,3.271007907050506,103768,768,"iters
0      9.557839e-01
1      9.234311e-01
2      8.956240e-01
3      8.707705e-01
4      8.479647e-01
           ...     
763    1.980561e-07
764    1.941453e-07
765    1.903117e-07
766    1.865538e-07
767    1.828701e-07
Name: Gap_Sol, Length: 768, dtype: float64",3.271007860903862,96166,785,"iters
0      9.652097e-01
1      9.652097e-01
2      9.243945e-01
3      8.812461e-01
4      8.373688e-01
           ...     
780    3.226824e-07
781    2.754258e-07
782    2.288809e-07
783    1.872856e-07
784    1.573639e-07
Name: Gap_Sol, Length: 785, dtype: float64"
100,0.1,629630.1654880957,1.6034586564146962,2107,1.603458656414758,41578,1.4143867400857391e-11,1.7272838822628374,860873,40000,"iters
0        1.009951
1        1.009695
2        1.009495
3        1.009334
4        1.009200
           ...   
39995    0.738551
39996    0.738547
39997    0.738543
39998    0.738539
39999    0.738535
Name: Gap_Sol, Length: 40000, dtype: float64",1.603461321506419,282707,40000,"iters
0        1.020281
1        1.020281
2        1.019961
3        1.019672
4        1.019433
           ...   
39995    0.001296
39996    0.001296
39997    0.001297
39998    0.001298
39999    0.001299
Name: Gap_Sol, Length: 40000, dtype: float64"
100,0.5,124244.46552172145,1.6621319121014475,1067,1.662131912101569,38360,1.3378561916861806e-11,1.7437506286267945,940795,40000,"iters
0        1.031542
1        1.030151
2        1.029100
3        1.028277
4        1.027612
           ...   
39995    0.449762
39996    0.449755
39997    0.449749
39998    0.449742
39999    0.449735
Name: Gap_Sol, Length: 40000, dtype: float64",1.6621343087191323,141198,40000,"iters
0        1.023687
1        1.023687
2        1.022841
3        1.022005
4        1.021226
           ...   
39995    0.000348
39996    0.000348
39997    0.000348
39998    0.000348
39999    0.000348
Name: Gap_Sol, Length: 40000, dtype: float64"
100,1.0,35414.646242588205,1.7677168735017204,1043,1.7677168735018556,42291,4.100820003098274e-12,1.7920550026613873,38302,40000,"iters
0        1.082393
1        1.079783
2        1.077763
3        1.076146
4        1.074812
           ...   
39995    0.150847
39996    0.150841
39997    0.150835
39998    0.150830
39999    0.150824
Name: Gap_Sol, Length: 40000, dtype: float64",1.7677171160088738,475648,40000,"iters
0        1.029862
1        1.029862
2        1.027029
3        1.024511
4        1.022456
           ...   
39995    0.000107
39996    0.000107
39997    0.000106
39998    0.000106
39999    0.000106
Name: Gap_Sol, Length: 40000, dtype: float64"
100,5.0,1484.051629020514,2.1587701300714826,1070,2.1587701300714874,37886,6.362449427489114e-13,2.158770190014098,674724,18613,"iters
0        1.464751
1        1.448253
2        1.435166
3        1.424453
4        1.415431
           ...   
18608    0.000003
18609    0.000003
18610    0.000003
18611    0.000003
18612    0.000003
Name: Gap_Sol, Length: 18613, dtype: float64",2.1587701625557867,684803,12333,"iters
0        1.474533
1        1.474533
2        1.464866
3        1.455508
4        1.446965
           ...   
12328    0.000003
12329    0.000003
12330    0.000003
12331    0.000003
12332    0.000003
Name: Gap_Sol, Length: 12333, dtype: float64"
100,10.0,372.30767664979544,2.334279807478337,2249,2.3342798074783353,38698,1.9022497596450117e-13,2.334279816199951,620441,5244,"iters
0       1.590702e+00
1       1.561291e+00
2       1.538137e+00
3       1.519265e+00
4       1.503375e+00
            ...     
5239    9.207935e-07
5240    9.183107e-07
5241    9.158346e-07
5242    9.133652e-07
5243    9.109025e-07
Name: Gap_Sol, Length: 5244, dtype: float64",2.3342798152376334,373856,4374,"iters
0       1.556710e+00
1       1.556710e+00
2       1.540074e+00
3       1.523446e+00
4       1.507625e+00
            ...     
4369    9.611442e-07
4370    9.370392e-07
4371    9.164023e-07
4372    8.996392e-07
4373    8.870913e-07
Name: Gap_Sol, Length: 4374, dtype: float64"
100,20.0,93.86102980701764,2.6590413444327314,1046,2.659041344432736,42401,5.2177766942001125e-14,2.65904135141474,480780,1473,"iters
0       1.693215e+00
1       1.653725e+00
2       1.621149e+00
3       1.593178e+00
4       1.568332e+00
            ...     
1468    2.564372e-07
1469    2.537257e-07
1470    2.510428e-07
1471    2.483882e-07
1472    2.457618e-07
Name: Gap_Sol, Length: 1473, dtype: float64",2.659041347131858,499577,1440,"iters
0       1.637590e+00
1       1.637590e+00
2       1.602099e+00
3       1.562887e+00
4       1.521495e+00
            ...     
1435    3.739216e-07
1436    3.321323e-07
1437    2.932116e-07
1438    2.599443e-07
1439    2.358182e-07
Name: Gap_Sol, Length: 1440, dtype: float64"
200,0.1,3905245.025172683,1.3485782820239718,5454,1.3485782820233925,161471,1.5111681264660818e-10,1.610216179645372,227469,40000,"iters
0        1.007518
1        1.007391
2        1.007301
3        1.007235
4        1.007185
           ...   
39995    0.920309
39996    0.920307
39997    0.920306
39998    0.920304
39999    0.920303
Name: Gap_Sol, Length: 40000, dtype: float64",1.3486286328413242,357283,40000,"iters
0        1.008214
1        1.008214
2        1.008055
3        1.007915
4        1.007802
           ...   
39995    0.006508
39996    0.006508
39997    0.006508
39998    0.006507
39999    0.006507
Name: Gap_Sol, Length: 40000, dtype: float64"
200,0.5,290254.6764346495,1.4601882182822166,5329,1.4601882182825523,159997,1.9415602603133632e-11,1.6224451757987872,493241,40000,"iters
0        1.037997
1        1.037535
2        1.037209
3        1.036971
4        1.036788
           ...   
39995    0.652476
39996    0.652471
39997    0.652466
39998    0.652460
39999    0.652455
Name: Gap_Sol, Length: 40000, dtype: float64",1.460205912510364,355479,40000,"iters
0        1.063814
1        1.063814
2        1.063123
3        1.062468
4        1.061888
           ...   
39995    0.000883
39996    0.000883
39997    0.000883
39998    0.000883
39999    0.000883
Name: Gap_Sol, Length: 40000, dtype: float64"
200,1.0,74563.87394111582,1.5777976239712084,5383,1.5777976239709763,148678,2.0746379551376336e-11,1.6572507463949007,333629,40000,"iters
0        1.179196
1        1.177176
2        1.175711
3        1.174610
4        1.173747
           ...   
39995    0.405946
39996    0.405938
39997    0.405930
39998    0.405922
39999    0.405914
Name: Gap_Sol, Length: 40000, dtype: float64",1.5777987507491382,921383,40000,"iters
0        1.120488
1        1.120488
2        1.118764
3        1.117208
4        1.115916
           ...   
39995    0.000309
39996    0.000309
39997    0.000308
39998    0.000308
39999    0.000308
Name: Gap_Sol, Length: 40000, dtype: float64"
200,5.0,3010.0471311317356,2.0363690820763214,4184,2.0363690820763467,156386,1.5605015714062306e-12,2.0363691291829764,792757,39108,"iters
0        2.185177
1        2.171332
2        2.161153
3        2.153376
4        2.147188
           ...   
39103    0.000003
39104    0.000003
39105    0.000003
39106    0.000003
39107    0.000003
Name: Gap_Sol, Length: 39108, dtype: float64",2.036369130936449,695182,23629,"iters
0        2.232422
1        2.232422
2        2.208447
3        2.186430
4        2.167859
           ...   
23624    0.000003
23625    0.000003
23626    0.000003
23627    0.000003
23628    0.000003
Name: Gap_Sol, Length: 23629, dtype: float64"
200,10.0,753.4709675076728,2.220769218293237,5830,2.220769218293231,171084,4.2388592857483136e-13,2.2207692127874865,59635,10958,"iters
0        2.629906
1        2.618599
2        2.609331
3        2.601415
4        2.594411
           ...   
10953    0.000001
10954    0.000001
10955    0.000001
10956    0.000001
10957    0.000001
Name: Gap_Sol, Length: 10958, dtype: float64",2.2207691938276817,796475,8549,"iters
0       2.556686
1       2.556686
2       2.536928
3       2.518043
4       2.501006
          ...   
8544    0.000001
8545    0.000001
8546    0.000001
8547    0.000001
8548    0.000001
Name: Gap_Sol, Length: 8549, dtype: float64"
200,20.0,189.1308204669766,2.463997712952732,4450,2.463997712952743,153033,1.3644708571766082e-13,2.4639977125796495,772511,3024,"iters
0       2.784694e+00
1       2.750276e+00
2       2.722420e+00
3       2.698830e+00
4       2.678032e+00
            ...     
3019    3.051942e-07
3020    3.035842e-07
3021    3.019827e-07
3022    3.003896e-07
3023    2.988050e-07
Name: Gap_Sol, Length: 3024, dtype: float64",2.4639977159127135,533774,2820,"iters
0       2.906959e+00
1       2.906959e+00
2       2.874397e+00
3       2.840191e+00
4       2.805584e+00
            ...     
2815    4.351407e-07
2816    3.894073e-07
2817    3.470218e-07
2818    3.101928e-07
2819    2.817541e-07
Name: Gap_Sol, Length: 2820, dtype: float64"
